SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
West Rajasthan,1901,6.7,0,1.1,0,6.1,3,79,59.2,1,2.1,0,0.6,158.9,6.7,7.2,142.2,2.7
West Rajasthan,1902,0,0,0,0.5,4,49.1,27,71.3,41.8,1.8,0,0,195.6,0,4.5,189.2,1.8
West Rajasthan,1903,1.7,1.3,5.5,0,4.2,2.7,154.8,87.1,49.3,0.1,0,0.5,307,3,9.7,293.8,0.5
West Rajasthan,1904,3.8,2.9,16.3,0.7,11.4,14.6,39.8,45.6,21.4,1.4,2.9,7.1,167.9,6.6,28.5,121.4,11.4
West Rajasthan,1905,6.3,4.8,0.7,1.3,0.3,4.9,30.1,0.6,64.5,0,0,0.9,114.4,11,2.4,100.1,0.9
West Rajasthan,1906,0.1,39.1,7.8,0,0.2,19.9,53.7,58.6,87.1,0.7,0,2.4,269.5,39.1,8,219.3,3.1
West Rajasthan,1907,0.6,24.5,6.3,7.3,6.8,12.8,52.2,242.5,0.2,0.1,0,0,353.2,25,20.3,307.7,0.1
West Rajasthan,1908,8.5,0.2,0,3.8,6.6,28.4,208.9,265.8,56.8,2,1,0,581.9,8.6,10.4,559.9,3
West Rajasthan,1909,1.9,6.5,0,23.7,2.3,29.2,158.2,73.9,114.5,0.6,0,15.4,426.2,8.4,25.9,375.8,16
West Rajasthan,1910,2.2,0.2,0,3.6,0.3,67.3,50.5,156.6,12.2,0.5,0,0,293.2,2.3,3.9,286.5,0.5
West Rajasthan,1911,2.8,0.3,37.3,1.9,0.1,26,3.2,14.8,44.5,5.9,2.1,0,138.8,3.1,39.2,88.5,8
West Rajasthan,1912,16.3,0,0.1,2.2,2.9,19.7,119.7,96.8,13.4,5,3.7,0,279.9,16.3,5.3,249.6,8.7
West Rajasthan,1913,0.1,8.5,2.7,0.5,26.8,53.4,52,58.2,31.1,0.1,0.6,14.1,248.3,8.6,30,194.7,14.9
West Rajasthan,1914,2.6,1.8,0.1,8.4,3,51.6,125.3,54.1,48.3,4,3.1,0,302.3,4.4,11.5,279.3,7.2
West Rajasthan,1915,7,19.7,15.4,0.1,0.6,16.3,25.8,19,12.3,31.1,0,0,147.2,26.7,16,73.4,31.1
West Rajasthan,1916,1.5,0.3,0.2,1.7,16.4,21.2,66.1,191.5,102.8,20,0,0,421.7,1.8,18.4,381.6,20
West Rajasthan,1917,1.3,1.2,1.1,12.2,56.8,73.9,97.1,243.4,203,78.3,0,0.5,768.8,2.5,70.2,617.3,78.9
West Rajasthan,1918,0.4,0,2.7,0.5,0.7,5.6,5.1,40.8,5.9,0.2,0.2,0.1,62.3,0.4,4,57.4,0.5
West Rajasthan,1919,13.7,1.6,0.7,5.4,7.2,1.1,95.7,151.9,21.3,0,4.4,2,305,15.3,13.3,270,6.4
West Rajasthan,1920,2.7,1.5,0.9,1.5,49.2,60.3,94.7,37.2,0.6,0,0,0,248.7,4.2,51.6,192.8,0
West Rajasthan,1921,0.1,0,0,0,0,4.3,119.2,46.7,46.6,0.6,0.1,0.4,218,0.1,0,216.8,1.1
West Rajasthan,1922,0.4,0.6,0,0.8,4.6,18.1,90.8,33.9,91.7,1.5,0,2.5,244.8,1,5.4,234.5,4
West Rajasthan,1923,3.3,4.9,0.7,0.4,9.6,7.8,118.9,118.3,4.7,0.4,0,4.4,273.4,8.2,10.7,249.8,4.8
West Rajasthan,1924,4.4,2.2,0.1,0.5,8.6,11.5,86,68.8,103.6,0.9,0.3,10.1,297.1,6.6,9.3,270,11.3
West Rajasthan,1925,0,0,0,0,8.2,62.6,71.7,20,4.5,0.8,1.8,0,169.7,0,8.2,158.8,2.6
West Rajasthan,1926,5.4,0.3,19.4,0.8,21.4,4,95.6,179.4,113.6,0,0,0.3,440.2,5.7,41.6,392.6,0.3
West Rajasthan,1927,0,7.7,0,0.1,5.4,12.4,135.7,124.8,23.7,4.1,0.4,18.2,332.5,7.7,5.5,296.6,22.7
West Rajasthan,1928,0.4,0.8,1,2,2.1,10.2,79.9,140.4,16.8,14.7,3.3,0.5,272,1.2,5.2,247.3,18.5
West Rajasthan,1929,2.3,0,0,1.8,12.2,11.1,163.5,103.8,3.9,0.3,0,4.4,303.3,2.3,14,282.3,4.7
West Rajasthan,1930,2.5,1.2,0.7,1.8,16.7,47.1,100.3,45.2,8.1,6.3,0.1,0,230.1,3.7,19.2,200.7,6.4
West Rajasthan,1931,0.1,1.1,1.3,0,12.1,10.2,73.5,270.7,9.3,16.8,0,0.2,395.4,1.2,13.4,363.7,17
West Rajasthan,1932,0.7,0.2,6.3,1.8,4.4,10.8,118.6,115.5,6.2,0,0,0.6,265.3,0.9,12.5,251.2,0.6
West Rajasthan,1933,0,7.6,4,13,15.3,46.4,46.1,211.3,31.9,0.5,0.1,0,376.4,7.7,32.3,335.8,0.6
West Rajasthan,1934,0.8,0,8.2,0.2,1.6,60.7,46.8,185.3,16.4,0,0,2.4,322.4,0.8,10,309.2,2.4
West Rajasthan,1935,9.2,2.7,2.5,8.4,0.8,4.1,137.4,38.2,47.2,4.5,0.7,1,256.6,11.9,11.6,227,6.2
West Rajasthan,1936,0.1,4.6,1.8,0.3,0.4,56.6,33.3,119,37.7,0,9.6,2,265.5,4.7,2.4,246.7,11.6
West Rajasthan,1937,0,25.5,0.7,1.9,1.2,17.5,171.8,1.1,60.4,0.7,0,11.6,292.5,25.5,3.9,250.9,12.3
West Rajasthan,1938,2.1,0.5,0,0.6,4.3,52.6,75.5,45.1,1.6,1.1,0,0.1,183.5,2.6,4.9,174.8,1.2
West Rajasthan,1939,0.3,25,7.8,0.2,0.3,22.3,15.9,53.5,12.1,0,0,0,137.4,25.3,8.3,103.8,0
West Rajasthan,1940,18.1,8.5,6.8,1.2,2.2,34.5,55.7,160.4,2.9,1.4,0.7,0,292.4,26.6,10.2,253.5,2.1
West Rajasthan,1941,8.7,0.5,1.2,0,10.2,21.9,74,86.3,18.6,0.4,0,2.8,224.8,9.2,11.5,200.9,3.2
West Rajasthan,1942,3.6,12.2,0,3.7,16.4,19.4,124.3,80.5,75.2,0.3,0,3.3,338.9,15.9,20.2,299.3,3.5
