,precip,binary,month,year
0,6.7,1,1,1901
1,0.0,0,1,1901
2,1.7,0,1,1901
3,3.8,1,1,1901
4,6.3,1,1,1901
5,0.1,0,1,1901
6,0.6,0,1,1901
7,8.5,1,1,1901
8,1.9,0,1,1901
9,2.2,0,1,1901
10,2.8,0,1,1901
11,16.3,1,1,1901
12,0.1,0,1,1901
13,2.6,0,1,1901
14,7.0,1,1,1901
15,1.5,0,1,1901
16,1.3,0,1,1901
17,0.4,0,1,1901
18,13.7,1,1,1901
19,2.7,0,1,1901
20,0.1,0,1,1901
21,0.4,0,1,1901
22,3.3,0,1,1901
23,4.4,1,1,1901
24,0.0,0,1,1901
25,5.4,1,1,1901
26,0.0,0,1,1901
27,0.4,0,1,1901
28,2.3,0,1,1901
29,2.5,0,1,1901
30,0.1,0,1,1901
31,0.7,0,1,1901
32,0.0,0,1,1901
33,0.8,0,1,1901
34,9.2,1,1,1901
35,0.1,0,1,1901
36,0.0,0,1,1901
37,2.1,0,1,1901
38,0.3,0,1,1901
39,18.1,1,1,1901
40,8.7,1,1,1901
41,3.6,1,1,1901
42,1.5,0,1,1901
43,14.2,1,1,1901
44,18.3,1,1,1901
45,0.0,0,1,1901
46,2.5,0,1,1901
47,21.4,1,1,1901
48,1.8,0,1,1901
49,1.4,0,1,1901
50,0.1,0,1,1901
51,0.0,0,1,1901
52,5.9,1,1,1901
53,1.6,0,1,1901
54,2.4,0,1,1901
55,3.1,0,1,1901
56,19.7,1,1,1901
57,2.2,0,1,1901
58,0.7,0,1,1901
59,0.2,0,1,1901
60,5.2,1,1,1901
61,0.8,0,1,1901
62,0.1,0,1,1901
63,0.6,0,1,1901
64,3.6,1,1,1901
65,0.1,0,1,1901
66,0.0,0,1,1901
67,2.9,0,1,1901
68,1.0,0,1,1901
69,4.5,1,1,1901
70,3.4,1,1,1901
71,1.1,0,1,1901
72,0.6,0,1,1901
73,0.0,0,1,1901
74,1.1,0,1,1901
75,4.2,1,1,1901
76,8.1,1,1,1901
77,0.1,0,1,1901
78,2.9,0,1,1901
79,0.4,0,1,1901
80,5.3,1,1,1901
81,11.3,1,1,1901
82,2.8,0,1,1901
83,0.1,0,1,1901
84,0.3,0,1,1901
85,0.5,0,1,1901
86,6.7,1,1,1901
87,0.8,0,1,1901
88,8.6,1,1,1901
89,0.0,0,1,1901
90,0.2,0,1,1901
91,9.6,1,1,1901
92,2.2,0,1,1901
93,10.7,1,1,1901
94,8.2,1,1,1901
