,Date,Annual,JJAS,Year
0,12/31/1901,665.637,612.386,1901
1,12/31/1902,660.502,607.662,1902
2,12/31/1903,655.208,602.791,1903
3,12/31/1904,670.161,616.548,1904
4,12/31/1905,665.191,611.976,1905
5,12/31/1906,660.055,607.251,1906
6,12/31/1907,654.761,602.38,1907
7,12/31/1908,669.714,616.137,1908
8,12/31/1909,664.744,611.564,1909
9,12/31/1910,659.608,606.839,1910
10,12/31/1911,654.314,601.969,1911
11,12/31/1912,669.268,615.727,1912
12,12/31/1913,664.297,611.153,1913
13,12/31/1914,659.162,606.429,1914
14,12/31/1915,653.868,601.559,1915
15,12/31/1916,668.821,615.315,1916
16,12/31/1917,663.85,610.742,1917
17,12/31/1918,658.715,606.018,1918
18,12/31/1919,653.421,601.147,1919
19,12/31/1920,668.374,614.904,1920
20,12/31/1921,663.403,610.331,1921
21,12/31/1922,658.268,605.607,1922
22,12/31/1923,652.974,600.736,1923
23,12/31/1924,667.927,614.493,1924
24,12/31/1925,662.956,609.92,1925
25,12/31/1926,657.821,605.195,1926
26,12/31/1927,652.527,600.325,1927
27,12/31/1928,667.478,614.08,1928
28,12/31/1929,662.505,609.505,1929
29,12/31/1930,657.368,604.779,1930
30,12/31/1931,652.072,599.906,1931
31,12/31/1932,667.023,613.661,1932
32,12/31/1933,662.05,609.086,1933
33,12/31/1934,656.913,604.36,1934
34,12/31/1935,651.616,599.487,1935
35,12/31/1936,666.567,613.242,1936
36,12/31/1937,661.595,608.667,1937
37,12/31/1938,656.457,603.94,1938
38,12/31/1939,651.161,599.068,1939
39,12/31/1940,666.112,612.823,1940
40,12/31/1941,661.139,608.248,1941
41,12/31/1942,656.002,603.522,1942
42,12/31/1943,650.706,598.65,1943
43,12/31/1944,665.657,612.404,1944
44,12/31/1945,660.684,607.829,1945
45,12/31/1946,655.547,603.103,1946
46,12/31/1947,650.25,598.23,1947
47,12/31/1948,665.201,611.985,1948
48,12/31/1949,660.229,607.411,1949
49,12/31/1950,655.091,602.684,1950
50,12/31/1951,649.795,597.811,1951
51,12/31/1952,664.746,611.566,1952
52,12/31/1953,659.773,606.991,1953
53,12/31/1954,654.636,602.265,1954
54,12/31/1955,649.34,597.393,1955
55,12/31/1956,664.291,611.148,1956
56,12/31/1957,659.318,606.573,1957
57,12/31/1958,654.181,601.847,1958
58,12/31/1959,648.884,596.973,1959
59,12/31/1960,663.835,610.728,1960
60,12/31/1961,658.863,606.154,1961
61,12/31/1962,653.725,601.427,1962
62,12/31/1963,648.429,596.555,1963
63,12/31/1964,663.38,610.31,1964
64,12/31/1965,658.407,605.734,1965
65,12/31/1966,653.27,601.008,1966
66,12/31/1967,647.974,596.136,1967
67,12/31/1968,662.925,609.891,1968
68,12/31/1969,657.952,605.316,1969
69,12/31/1970,652.815,600.59,1970
70,12/31/1971,647.518,595.717,1971
71,12/31/1972,662.469,609.471,1972
72,12/31/1973,657.497,604.897,1973
73,12/31/1974,652.359,600.17,1974
74,12/31/1975,647.063,595.298,1975
75,12/31/1976,662.014,609.053,1976
76,12/31/1977,657.041,604.478,1977
77,12/31/1978,651.904,599.752,1978
78,12/31/1979,646.608,594.879,1979
79,12/31/1980,661.559,608.634,1980
80,12/31/1981,656.586,604.059,1981
81,12/31/1982,651.449,599.333,1982
82,12/31/1983,646.152,594.46,1983
83,12/31/1984,661.103,608.215,1984
84,12/31/1985,656.131,603.641,1985
85,12/31/1986,650.993,598.914,1986
86,12/31/1987,645.697,594.041,1987
87,12/31/1988,660.648,607.796,1988
88,12/31/1989,655.675,603.221,1989
